frame, gt_idx, det_idx,  IoU, JIoU(gt_unc&det_unc), JIoU(gt_unc&gt), JIoU(gt_unc&det), JIoU ratio
003781,     0,      6,  0.93,   0.33,     0.31,     0.31,     1.07
003781,     3,      5,  0.82,   0.62,     0.57,     0.54,     1.08
003782,     0,      9,  0.68,   0.41,     0.44,     0.35,     0.93
003800,     4,      2,  0.92,   0.49,     0.47,     0.45,     1.04
003800,     7,      6,  0.89,   0.35,     0.31,     0.30,     1.12
003802,     6,      6,  0.82,   0.30,     0.27,     0.26,     1.11
003802,     7,     -1,  0.00,   0.00,     0.62,     0.00,     0.00
003804,     7,     13,  0.16,   0.37,     0.29,     0.07,     1.31
003807,     0,      5,  0.91,   0.34,     0.32,     0.32,     1.07
003807,     6,      7,  0.87,   0.65,     0.55,     0.52,     1.18
003808,     5,      4,  0.75,   0.67,     0.67,     0.62,     1.01
003811,     2,      3,  0.78,   0.34,     0.30,     0.30,     1.15
003812,     0,      3,  0.85,   0.58,     0.56,     0.56,     1.04
003822,     4,      9,  0.82,   0.61,     0.55,     0.53,     1.10
003834,     0,      0,  0.94,   0.49,     0.45,     0.45,     1.08
003847,     4,      5,  0.91,   0.74,     0.66,     0.65,     1.13
003852,     4,      3,  0.84,   0.74,     0.68,     0.67,     1.09
003852,     6,      6,  0.92,   0.63,     0.55,     0.54,     1.14
003852,     7,      7,  0.77,   0.38,     0.26,     0.25,     1.44
003859,     2,      4,  0.79,   0.30,     0.22,     0.21,     1.37
003859,     4,      3,  0.84,   0.68,     0.66,     0.63,     1.03
003869,     0,      1,  0.93,   0.34,     0.26,     0.26,     1.29
003872,     5,     10,  0.78,   0.43,     0.31,     0.34,     1.39
003872,     7,      5,  0.82,   0.61,     0.59,     0.56,     1.03
003872,    10,      8,  0.66,   0.55,     0.51,     0.46,     1.06
003873,     1,      0,  0.83,   0.59,     0.54,     0.55,     1.10
003878,     0,      0,  0.79,   0.41,     0.34,     0.36,     1.20
003879,     3,     -1,  0.00,   0.00,     0.21,     0.00,     0.00
003881,     2,      0,  0.81,   0.37,     0.34,     0.34,     1.09
003881,     3,      2,  0.73,   0.52,     0.40,     0.37,     1.31
003883,     3,      2,  0.70,   0.48,     0.39,     0.38,     1.24
003901,     0,      9,  0.86,   0.40,     0.34,     0.35,     1.16
003902,     4,      6,  0.71,   0.44,     0.35,     0.25,     1.27
003916,     0,      0,  0.67,   0.54,     0.50,     0.47,     1.08
003920,     3,      2,  0.77,   0.57,     0.50,     0.47,     1.14
003923,     6,      7,  0.96,   0.73,     0.69,     0.69,     1.07
003923,     7,      5,  0.95,   0.73,     0.68,     0.68,     1.07
003931,     4,      6,  0.87,   0.61,     0.57,     0.57,     1.06
003931,     6,      7,  0.86,   0.44,     0.42,     0.39,     1.07
003931,     7,      5,  0.92,   0.62,     0.57,     0.57,     1.08
003937,     4,     -1,  0.00,   0.00,     0.24,     0.00,     0.00
003943,     0,      1,  0.74,   0.51,     0.44,     0.43,     1.14
003943,     4,      2,  0.84,   0.37,     0.25,     0.27,     1.48
003958,     3,      7,  0.94,   0.70,     0.63,     0.63,     1.11
003958,     5,      9,  0.82,   0.42,     0.39,     0.37,     1.07
003964,     2,      4,  0.74,   0.42,     0.32,     0.30,     1.29
003970,     1,      2,  0.63,   0.61,     0.55,     0.52,     1.11
003975,     5,     10,  0.88,   0.45,     0.36,     0.36,     1.23
003977,     1,      1,  0.76,   0.72,     0.70,     0.64,     1.04
003980,     4,      3,  0.90,   0.71,     0.66,     0.65,     1.07
003980,     5,      6,  0.74,   0.62,     0.60,     0.54,     1.03
003980,     6,      5,  0.91,   0.45,     0.39,     0.40,     1.15
003980,     7,      4,  0.87,   0.50,     0.45,     0.44,     1.11
003980,     8,      7,  0.17,   0.38,     0.30,     0.07,     1.28
003984,     4,      9,  0.90,   0.40,     0.32,     0.34,     1.25
003984,     7,      4,  0.89,   0.56,     0.53,     0.53,     1.06
003992,     0,      2,  0.64,   0.51,     0.46,     0.45,     1.09
003992,     3,      1,  0.84,   0.54,     0.47,     0.47,     1.16
003996,     0,      1,  0.90,   0.48,     0.45,     0.44,     1.07
004000,     0,      0,  0.75,   0.38,     0.33,     0.33,     1.15
004001,     0,      0,  0.93,   0.34,     0.30,     0.30,     1.11
004004,     4,      5,  0.92,   0.47,     0.42,     0.42,     1.13
004004,     6,      6,  0.70,   0.43,     0.36,     0.34,     1.19
004007,     7,      6,  0.87,   0.72,     0.69,     0.67,     1.06
004007,     8,      8,  0.75,   0.58,     0.51,     0.48,     1.13
004010,     0,      5,  0.93,   0.42,     0.40,     0.40,     1.05
004016,     0,      1,  0.89,   0.43,     0.39,     0.38,     1.11
004016,     2,      4,  0.64,   0.41,     0.34,     0.29,     1.22
004032,     7,      7,  0.92,   0.64,     0.62,     0.62,     1.04
004032,     8,      8,  0.88,   0.49,     0.43,     0.42,     1.13
004032,     9,      9,  0.93,   0.73,     0.68,     0.67,     1.07
004042,     3,     -1,  0.00,   0.00,     0.54,     0.00,     0.00
004045,    11,      9,  0.84,   0.66,     0.60,     0.60,     1.10
004051,     7,      5,  0.87,   0.66,     0.64,     0.64,     1.03
004051,     8,      7,  0.78,   0.64,     0.62,     0.60,     1.04
004061,     0,      2,  0.94,   0.43,     0.40,     0.40,     1.07
